Name of Research Group,Name of PI,Institution,Country,Webpage,"Research focus (fauna, time period, materials)",ZooMS sample prep,MALDI-ToF-MS,Shotgun palaeoproteomics sample prep,LC-MS/MS,AAR                       sample prep,Other instrumentation
ANU Palaeoproteomics Lab,Sofia Samper Carro,Australian National University,Australia,,"Bone and teeth, any time period",FALSE,FALSE,TRUE,TRUE,FALSE,"SEM, FTIR, microCT, AMS Radiocarbon Laboratory, Automation"
Australian Research Centre for Human Evolution,Mathew Stewart,Griffith University,Australia,https://www.griffith.edu.au/research/sciences/australian-research-centre-human-evolution,Open,TRUE,TRUE,FALSE,FALSE,FALSE,
Palaeoproteomics Lab,Katerina Douka,"Life Sciences (UBB), University of Vienna",Austria,https://doukalab.univie.ac.at,"Multiple (current themes: Human evolution, Palaeolithic, Mesolithic-Neolithic transition, protocol development, new marker development) -Training courses throughout the year",TRUE,TRUE,TRUE,TRUE,FALSE,"AMS Radiocarbon Laboratory, NIR, stable isotopes (C, N), microCT, SEM"
"ProGenTomics, Laboratory of Pharmaceutical Biotechnology",Maarten Dhaenens,Ghent University,Belgium,https://www.progentomics.ugent.be/,"Multiple (protocol development, species identification, human bone proteome investigation, enamel sexing, etc.)",FALSE,FALSE,TRUE,TRUE,FALSE,
Multiomic Primate Evolution lab,Joseph Orkin,Université de Montréal,Canada,https://josephorkin.com,"Primate evolution, heritage preserved foods, computational proteomics & genomics",FALSE,FALSE,FALSE,TRUE,FALSE,
ADαPT  - Ancient DNA and Proteomics Laboratory Facility,Camilla Speller,University of British Columbia ,Canada ,https://sites.google.com/palaeome.org/adapt-ubc/home?authuser=0,"Species identification, foodways, Indigenous-led research",TRUE,TRUE,TRUE,TRUE,FALSE,
LZU Palaeoproteomics Lab,Dongju Zhang/Huan Xia,Lanzhou University,China,,"Species identification, human evoluion and behaviour",TRUE,TRUE,TRUE,FALSE,FALSE,
Palaeoproteomics Lab of Northwest University Archaeology,Lu Yang,Northwest University,China,,"Leather, hair, bone, silk species identification/painted material detection",TRUE,TRUE,TRUE,TRUE,FALSE,
The Fu's Lab,Qiaomei Fu/Huiyun Rao,"Institute of Vertebrate Paleontology and Paleoanthropology,Chinese Academy of Sciences",China,,"Human evolution, mammal evolution, species identification, organic residue",TRUE,TRUE,TRUE,TRUE,TRUE,"FTIR, HPLC, Automation"
The Yang Group,Yimin Yang,University of Chinese Academy of Sciences,China,,"Species identification, foodways (pottery, bronze vessels, dental calculus), organic residue",TRUE,TRUE,TRUE,TRUE,FALSE,"FTIR, Raman, XRD, SEM, Py-GC-MS, GC-FID, GC-MS, XRF,Isotope facilities for C,N,S,O and also lipid compounds"
The Zhu Group,Zhanyun Zhu,Xiamen University,China,,Multiple,FALSE,FALSE,TRUE,TRUE,FALSE,
Archeogen Laboratory ,Zuzana Hofmanová,Masaryk University ,Czech Republic ,,"Species identification of archaeological and palaeontological fauna from various time periods; analysis of artefacts, dental calculus",TRUE,TRUE,TRUE,TRUE,FALSE,aDNA analyses
ArchaeoScience,Pernille Bangsgaard,"Globe Institute, University of Copenhagen",Denmark,https://archaeoscience.ku.dk/english/,Multiple,TRUE,TRUE,TRUE,TRUE,FALSE,
Biomolecular Palaeoanthropology,Frido Welker,"Globe Institute, University of Copenhagen",Denmark,https://www.welker-group.org/,"Human evolution, behavior, physiology. Fauna and hominins, during the past 1 million years. ",TRUE,TRUE,TRUE,TRUE,FALSE,
Brandt Group,Luise Ørsted Brandt,"Globe Institute, Section for GeoBiology, University of Copenhagen",Denmark,https://globe.ku.dk/research/geobiology/brandt-group/,"Leather, fur, skin, bone, enamel",TRUE,TRUE,TRUE,TRUE,FALSE,
Cappellini Group,Enrico Cappellini,"Globe Institute, University of Copenhagen",Denmark,,Deeptime palaeoproteomics ,TRUE,FALSE,TRUE,TRUE,FALSE,
Codicum,Matthew Collins,University of Southern Denmark,Denmark,https://sites.google.com/palaeome.org/codicum/,Dedicated instrument for palaeoproteomics - opening in 2026,TRUE,TRUE,TRUE,TRUE,FALSE,
Archemy Lab,Ester Oras,University of Tartu,Estonia,,"Species identification, foodways (pottery, dental calculus)",FALSE,FALSE,FALSE,FALSE,FALSE,
Paleoanthropology,Jean-Jacques Hublin,Collège de France,France,https://www.college-de-france.fr/fr/paleoanthropology,"Interaction of hominin biology, culture and ecology during the Pleistocene and early Holocene",TRUE,TRUE,TRUE,FALSE,FALSE,NIR
Bordeaux Protéome Heritage,Caroline Tokarski,University of Bordeaux,France,,"We investigate proteins from diverse sources including bones, teeth, cultural heritage objects, food residues, and more.",TRUE,TRUE,TRUE,TRUE,FALSE,Mass spectrometry-based investigation of lipids and carbohydrates.
Palaeoproteomics Lab ,MPIGEA,Max Planck Insitute of Geoanthropology,Germany,,Human behavior ,TRUE,TRUE,TRUE,FALSE,FALSE,
Archae-Palaeoproteomics lab,Naihui Wang,Eberhard Karls Universität Tübingen,Germany,,,FALSE,FALSE,FALSE,FALSE,FALSE,
ArchaeoBiomics,Beatrice Demarchi,"Department of Life Sciences and Systems Biology, University of Turin",Italy,https://archaeobiomics.com/,"Primarily focused on the analysis of bird remains, but also includes dental calculus and human/faunal bone, art/museum objects",TRUE,TRUE,TRUE,TRUE,TRUE,"GC-MS, SEM, FTIR, microCT"
Proteomics Lab,Ilaria Serafini,Sapienza University of Rome,Italy,,"Species identification from fibers (wool, silk), collagen from bones, protocol development",FALSE,FALSE,TRUE,TRUE,FALSE,"FTIR, Raman, Py-GC-MS, DNA analyses"
Bones Lab,Stefano Benazzi,University of Bologna - Department of Cultural Heritage,Italy,https://boneslab.unibo.it/,"Paleoanthropology, Human evolution, teeth Istology, Zooarchaeology, Taphonomy, Palaeoproteomic (ZooMS and Amelogenin). ",TRUE,TRUE,FALSE,TRUE,FALSE,"DNA analyses; Isotope facilities for C,N,Sr; microCT, Hirox"
Lab of Biological Anthropology,Takumi Tsutaya,"Graduate University for Advanced Studies, SOKENDAI",Japan,https://sites.google.com/view/anthr/,"Archaeology, human evolution, paleontology, ecology",FALSE,FALSE,TRUE,TRUE,FALSE,
EvoChromics,Jorune Sakalauskaite/Marine Morvan,"Life Sciences Centre, Vilnius University",Lithuania,,"Main focus - archaeological mollusc shell artifacts, but also dental enamel for sex identification, species identification",TRUE,FALSE,TRUE,FALSE,FALSE,
Otago ZooMS lab,Monica Tromp,University of Otago,New Zealand,,"We are just getting started and focusing on ZooMS of some of the only mammals in New Zealand, marine mammals! Keen to expand to birds and fish post mammal projects.",TRUE,TRUE,FALSE,TRUE,FALSE,"SEM-EDS, Isotopes (Sr metal free lab, C, N, O), pXRF "
ZooSCAn,Shnaider Svetlana,Institute of Archaeology and Ethnography SB RAS,Russia,,"Species identification, human evoluion and behaviour",TRUE,TRUE,FALSE,FALSE,FALSE,
Comparative Genomics Lab,Tomas Marques-Bonet,Pompeu Fabra University,Spain,https://www.biologiaevolutiva.org/tmarques/,"Evolutionary and functional genomics and proteomics of mammals, with a focus on primates",FALSE,FALSE,TRUE,TRUE,FALSE,
Molecular Paleobiology Laboratory,Samantha Brown,CENIEH,Spain,https://www.cenieh.es/en/research/lines-of-research/paleoproteomics,https://www.cenieh.es/en/research/lines-of-research/paleoproteomics,TRUE,TRUE,TRUE,FALSE,FALSE,
EvoAdapta Group - UC,Ana B. Marín-Arroyo,University of Cantabria,Spain,https://www.evoadapta.unican.es/,"Human evolution and adaptation, human diet, palaeoclimate/palaeoenvironment, palaeoanthropology",TRUE,TRUE,TRUE,FALSE,FALSE,"Isotope facilities, bioarchaeological identification, dental calculus extraction"
EarlyFoods and BioMap,"Andre Colonese, Krista McGrath",Universitat Autonoma de Barcelona,Spain,https://sgr-earlyfoods.com/,"Stable isotopes, Lipid residue analysis, ZooMS (faunal-human materials, artefacts, Europe, South America)",FALSE,FALSE,FALSE,FALSE,FALSE,
Ancient Proteins Laboratory,Shevan Wilkin,University of Zurich/University of Basel,Switzerland,,"Diet and health, archaeological residues, dental enamel, ",FALSE,FALSE,TRUE,TRUE,FALSE,
Ancient Genomics Laboratory,Pontus Skoglund,The Francis Crick Institute,UK,https://www.crick.ac.uk/research/labs/pontus-skoglund,"Hominin ancestry and evolution, faunal identification",TRUE,FALSE,TRUE,TRUE,FALSE,
Archaeological Proteomics lab,Karen Ruebens,University of Reading,UK,https://research.reading.ac.uk/coexist/lab/,Open,TRUE,TRUE,FALSE,FALSE,FALSE,
BioArCh & NEaar lab,Jessica Hendy/Kirsty Penkman,University of York,UK,https://www.york.ac.uk/archaeology/research/research-centres/bioarch/research-themes/palaeoproteomics/;  https://www.york.ac.uk/palaeo/services/ne-aar/,"Multiple, including (but not limited to) ZooMS and protein analysis on bones, teeth and the organic remains as well as including chiral amino acid analysis for testing for protein endogeneity",TRUE,TRUE,TRUE,TRUE,TRUE,
IoA Biomolecular Archaeology Laboratory,Rhiannon Stevens,University College London,UK,,Multiple,TRUE,TRUE,TRUE,FALSE,FALSE,"Isotope facilities for C,N,S,O,Sr,H,Zn,Pb NIR, SEM, FTIR, Raman, LA-ICPMS, pXRF"
Proteomics lab,Virginia Harvey,University of Chester,UK,,"Species identification (specialises in marine turtle and fishes, but can analyse any faunal material)",TRUE,TRUE,TRUE,TRUE,FALSE,
Proteomics and Biomolecular Mass Spectrometry,Timothy Cleland,"Museum Conservation Institute, Smithsonian Institution",US,,"Deep time paleoproteomics, archaeological proteomics, zoo proteomics, protocol development",FALSE,FALSE,FALSE,FALSE,FALSE,
Warinner Group,Christina Warinner,Harvard University,US,https://christinawarinner.com/,"Dental calculus, enamel, method development; dedicated clean lab LCMS. Zooarchaeology, ZooMS; MALDI-ToF",TRUE,FALSE,TRUE,TRUE,FALSE,
Biomolecular Mass Spectrometry Laboratory (BIO-MS),Bruno Martínez-Haya,"Universidad Pablo de Olavide (Seville, Spain)",Spain,https://www.upo.es/cnats/services/bio-ms/,"Zooarchaeology, shot-gun proteomics (nLC-ESI-orbitrap), ZooMS (MALDI-ToF), lipidomics. ",FALSE,TRUE,FALSE,TRUE,FALSE,
Palaeoproteomics and Archaeogenomics Lab (PAL),Kristine Korzow (Richter),Texas A&M University (USA),US,,"ZooMS (mammals, fish, birds, reptiles), ZooMS marker development, method development for other structural protein identifications, MALDI-ToF, tandem mass spec, training in ZooMS wet chemistry or data analysis, multi-method studies",TRUE,TRUE,TRUE,TRUE,FALSE,Works with multiple isotope facilities for combined collagen extractions; DNA analysis (as part of joint proteomics projects)
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,
